cell_key,template_sheet,cellreference
Project/Programme Name,Introduction,C11
Department ,Introduction,C9
Delivery Body ,Introduction,C10
DRRDD - IPA ID Number,Introduction,C12
Controls Project ID number,Introduction,C13
Project Type (for IPA use),Introduction,C14
Classification,Introduction,C15
DRRDD (GMPP - formally joined GMPP),Introduction,C16
Reporting period (DRRDD - Snapshot Date),Introduction,C17
Snapshot Date,Introduction,C18
Senior Responsible Owner (SRO),Introduction,C21
Senior Responsible Owner (SRO) - Email,Introduction,C22
Senior Responsible Owner (SRO) - ID number,Introduction,C23
SRO Sign-Off,Introduction,C24
Project Director (PD),Introduction,C26
Project Director (PD) - Email,Introduction,C27
Project Director (PD) - ID number,Introduction,C28
Date Report Approved by PD?,Introduction,C29
Working Contact Name,Introduction,C31
Working Contact Email,Introduction,C32
Project Accountant with responsibility for Spend - Email,Introduction,C33
Project Benefits Mngr with responsibility for Benefits - Email,Introduction,C34
Project Planner with responsibility for Milestones - Email,Introduction,C35
IPA's Departmental Single Point of Contact,Introduction,C38
IPA's Departmental Single Point of Contact - Email,Introduction,C39
IPA Analysis & Insight Unit (AIU) Lead,Introduction,C40
IPA Analysis & Insight Unit (AIU) Lead - Email,Introduction,C41
Date Report Approved by AIU?,Introduction,C42
IPA Strategic Delivery Advisor (SDA) - Email,Introduction,C43
Date Report Approved by SDA?,Introduction,C44
Departmental PPM HoP copied in submission email?,Introduction,C46
Departmental PPM HoP - Email,Introduction,C47
Departmental HR HoP copied in submission email?,Introduction,C48
Departmental HR HoP - Email,Introduction,C49
Departmental Finance HoP copied in submission email?,Introduction,C50
Departmental Finance HoP - Email,Introduction,C51
Departmental Economics HoP copied in submission email?,Introduction,C52
Departmental Economics HoP - Email,Introduction,C53
Departmental Legal HoP copied in submission email?,Introduction,C54
Departmental Legal HoP - Email,Introduction,C55
Departmental Commercial l HoP copied in submission email?,Introduction,C56
Departmental Commercial HoP - Email,Introduction,C57
Departmental IT HoP copied in submission email?,Introduction,C58
Departmental IT HoP - Email,Introduction,C59
HMT Spending Team Lead copied in submission email?,Introduction,C60
HMT Spending Team Lead - Email,Introduction,C61
Quarter Joined,Introduction,C66
DFT ID Number,Introduction,C65
Working Contact Telephone,Introduction,C67
DfT Group,Introduction,C63
DfT Division,Introduction,C64
Brief project description (DRRDD - brief descripton),1 - Project Info,E6
DRRDD - Dept,1 - Project Info,E7
Agency or delivery partner (DRRDD - Delivery Organisation primary),1 - Project Info,E8
Delivery Organisation Secondary,1 - Project Info,E9
Project status,1 - Project Info,E10
Is the SRO for this project an MPLA Graduate?,1 - Project Info,E11
Is the PD for this project an MPLA Graduate?,1 - Project Info,E12
Does the Project have an issued SRO appointment letter?,1 - Project Info,E13
Has the SRO issued an appointment letter to the PD?,1 - Project Info,E14
Delivery Structure,1 - Project Info,E17
Change Delivery Methodology,1 - Project Info,E18
Delivery Narrative,1 - Project Info,E19
DN Type 1,1 - Project Info,D23
DN Description 1,1 - Project Info,E23
DN Type 2,1 - Project Info,D24
DN Description 2,1 - Project Info,E24
DN Type 3,1 - Project Info,D25
DN Description 3,1 - Project Info,E25
DN Type 4,1 - Project Info,D26
DN Description 4,1 - Project Info,E26
DN Type 5,1 - Project Info,D27
